No,  Name,  Dataset,  Pretrained,  Epochs,  Batch,  P,  R,  mAP50,  mAP50:95,  Anns,  threshold,  iou,  Score
2,  v1.0.0,  v0.0.1,  yolov8l,  100,  64,  0.984,  0.982,  0.993,  0.879,  7510,  0.25,  0.5,  0.461598819
3,  v1.0.0,  v0.0.1,  yolov8l,  100,  64,  0.992,  0.997,  0.995,  0.945,  7020,  0.25,  0.5,  0.454132336
4,  v1.1.0,  v0.0.1,  yolov8x,  200,  64,  0.973,  0.986,  0.992,  0.857,  7815,  0.25,  0.5,  0.45913305
6,  v1.1.0,  v0.0.1,  yolov8x,  200,  64,  0.994,  0.994,  0.993,  0.951,  7102,  0.25,  0.5,  0.45913305
7,  v1.2.1,  v0.1.0,  yolov8s,  20,  128,  0.81,  0.718,  0.763,  0.582,  3916,  0.25,  0.5,  0.579971596
8,  v1.2.0,  v0.1.0,  yolov8x,  20,  64,  0.774,  0.669,  0.709,  0.522,  3524,  0.25,  0.5,  0.559688103
9,  v1.2.1,  v0.1.0,  yolov8s,  100,  128,  0.878,  0.899,  0.926,  0.762,  3045,  0.25,  0.5,  0.679250376
10,  v1.2.0,  v0.1.0,  yolov8x,  40,  64,  0,  0,  0,  0,  3632,  0.25,  0.5,  0.60495143
11,  v1.2.1,  v0.1.0,  yolov8s,  100,  128,  0.878,  0.899,  0.926,  0.762,  2578,  0.35,  0.5,  0.64579711
12,  v1.3.0,  v0.1.1,  v1.2.1,  2,  128,  0.886,  0.926,  0.934,  0.754,  5498,  0.25,  0.5,  0.567582408
13,  v.1.3.1n,  v0.1.1,  yolov8n,  109,  256,  0.884,  0.729,  0.802,  0.587,  8076,  0.25,  0.5,  0.445787661
14,  v1.2.0,  v0.1.0,  yolov8x,  70,  64,  0.934,  0.704,  0.831,  0.622,  3669,  0.25,  0.5,  0.6288531
15,  v1.3.2s,  v0.1.0,  yolov8s,  171,  128,  0.881,  0.833,  0.875,  0.675,  7147,  0.25,  0.5,  0.494038927
16,  v1.2.1,  v0.1.0,  yolov8s,  100,  128,  0.878,  0.899,  0.926,  0.762,  2796,  0.3,  0.5,  0.663002078
