                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.84943,                0.81427,                 1.1012,                0.87938,                0.93816,                0.94341,                0.81119,                0.44317,                0.31969,                0.64775,               0.070018,              0.0033313,              0.0033313
                      1,                0.92921,                0.91061,                 1.1414,                0.83011,                0.85314,                0.89301,                0.67866,                0.56457,                0.80187,                0.73536,               0.039985,              0.0066316,              0.0066316
                      2,                 1.1786,                  1.338,                 1.3002,                0.64184,                0.52965,                0.62394,                0.42826,                0.74404,                 3.2126,                0.88302,              0.0099194,               0.009899,               0.009899
                      3,                 1.3657,                 1.7536,                 1.4277,                0.74742,                 0.5467,                 0.6043,                 0.4198,                0.72108,                 1.2183,                0.85503,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.3471,                 1.7334,                 1.4225,                0.84697,                0.64692,                0.72602,                0.51895,                0.65884,                 1.7186,                0.81352,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3227,                 1.6344,                 1.3992,                 0.7957,                0.66105,                0.73733,                0.53698,                0.64171,                 1.4814,                0.79594,               0.009802,               0.009802,               0.009802
                      6,                 1.3034,                 1.6384,                 1.3825,                0.72121,                0.72511,                0.75861,                0.55962,                0.62245,                 1.3678,                0.78206,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.2845,                 1.5397,                 1.3725,                0.72413,                  0.695,                0.75727,                0.56905,                0.60106,                  1.286,                0.77103,               0.009703,               0.009703,               0.009703
                      8,                 1.2811,                 1.5406,                 1.3725,                0.76447,                0.68458,                0.76091,                0.57152,                0.60731,                 1.0917,                0.76943,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.2756,                 1.5398,                 1.3655,                0.79743,                0.69791,                0.77457,                0.58621,                0.58611,                0.98299,                0.76013,               0.009604,               0.009604,               0.009604
                     10,                 1.2605,                 1.4933,                 1.3591,                0.80818,                0.69006,                0.77705,                0.58706,                0.58245,                 1.0121,                0.75887,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.2603,                 1.5577,                 1.3554,                0.84886,                0.68101,                0.77822,                 0.5907,                0.58076,                 1.0148,                0.75799,               0.009505,               0.009505,               0.009505
                     12,                 1.2421,                 1.4997,                 1.3431,                0.80514,                0.70577,                0.78132,                0.59471,                0.57997,                 1.0367,                0.75746,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.2553,                  1.515,                 1.3534,                0.80019,                0.70492,                0.78234,                0.59659,                0.57667,                 1.0983,                0.75593,               0.009406,               0.009406,               0.009406
